1. Do you believe global climate change is currently happening?,2. Do you believe climate change is primarily caused by human activity?,3. Do you believe climate change is currently negatively impacting the planet?,4. How serious of a threat do you believe climate change is to life on Earth?,5. Natural resources should be conserved for future generations.,6. Protecting the environment is more important than economic growth.,7. Humans have the right to use Earth's resources however they choose.,8. Environmental regulations often go too far.,9. Governments should take stronger action to address environmental problems.,10. Corporations are primarily responsible for environmental damage.,11. Individual lifestyle choices can significantly reduce environmental harm.,12. Would you support government regulations to reduce emissions?,13. A carbon tax would increase gasoline prices but fund renewable energy. Would you support this policy?,"14. If companies raise prices to comply with environmental regulations, who should bear the cost?",15. A coal power plant provides many jobs but causes pollution. What should happen?,16. How often do you try to reduce your personal environmental impact?,17. Would you be willing to pay more for environmentally sustainable products?,18. Which do you believe has the largest impact on climate change?,19. Do you believe technological innovation will solve current environmental problems?,20. Age range,21. Education level,22. Which best describes the community where you currently live?,23. Which best describes the community where you grew up?
Yes,Yes,Yes,Somewhat serious,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Yes,Maybe,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Never,No,Corporate practices,Yes,Under 20,Associateâ€™s or Bachelorâ€™s degree,Urban,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,Yes,40-50,Some college,Rural,Suburban
Yes,Yes,Yes,Very serious,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Yes,Yes,Consumers (through higher prices),Close the plant gradually over time,Often,Yes,Corporate practices,Yes,40-50,Some college,Rural,Urban
Maybe,Maybe,Yes,Very serious,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Maybe,No,Governments (through taxpayer-funded subsidies),Keep the plant open without new environmental regulations,Never,No,Government policy,Yes,20-30,Graduate degree,Rural,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,20-30,Some college,Urban,Urban
Yes,Maybe,Yes,Somewhat serious,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,Maybe,Corporate practices,No,60+,High school or less,Suburban,Urban
Yes,Maybe,Yes,Somewhat serious,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Yes,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,No,Corporate practices,Yes,Under 20,Some college,Urban,Rural
Maybe,Maybe,Maybe,Somewhat serious,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Maybe,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,No,Natural processes,Maybe,60+,Some college,Suburban,Urban
Yes,Yes,Yes,Very serious,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Maybe,Corporate practices,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Urban,Urban
Yes,No,Maybe,Somewhat serious,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Maybe,No,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Never,No,Natural processes,Maybe,20-30,Some college,Rural,Rural
